 ,Area,Mean,X,Y,%Area
1,575.025,117.086,13.528,41.641,5.224
2,432.180,116.198,41.933,50.261,3.334
3,316.472,117.271,26.455,55.894,6.727
4,650.364,118.727,92.397,55.245,10.110
5,677.665,116.789,116.411,68.689,5.948
6,638.237,123.870,154.034,68.785,18.253
7,629.238,115.687,136.359,77.785,3.032
8,407.702,115.473,14.964,70.873,1.849
9,685.146,117.840,207.395,78.962,8.052
10,456.811,116.421,38.322,76.855,5.155
11,1149.473,115.473,177.081,93.145,2.408
12,689.510,116.155,74.547,84.802,5.032
13,831.002,118.238,98.528,90.385,9.661
14,399.410,114.849,53.695,90.965,1.199
15,391.658,115.219,28.700,94.494,1.814
16,695.015,116.644,12.705,100.648,6.526
17,893.296,121.753,125.522,101.694,16.982
18,591.528,115.759,46.114,110.225,3.935
19,664.185,114.978,75.308,111.499,1.760
20,871.453,118.838,160.695,115.873,11.797
21,548.524,121.152,133.021,119.356,14.861
22,623.922,119.261,192.583,119.705,12.842
23,610.877,116.967,95.469,123.825,7.009
24,662.326,114.480,32.649,129.220,0.558
25,477.795,115.597,63.870,129.691,2.811
26,535.397,115.214,14.484,135.637,2.874
27,931.336,116.326,122.877,142.616,5.039
28,895.037,115.744,175.685,141.375,3.530
29,414.795,120.563,148.735,139.804,14.014
30,289.524,119.562,57.341,141.698,13.269
31,638.460,118.742,94.688,146.192,11.822
32,396.763,120.483,210.060,150.571,15.182
33,731.726,116.018,66.940,157.251,3.480
34,274.374,124.248,190.180,154.232,23.266
35,676.277,115.930,36.677,161.118,3.799
36,569.061,120.577,160.800,163.533,14.041
37,839.753,125.052,194.523,171.685,21.346
38,432.321,117.273,54.195,175.638,7.569
39,459.752,120.475,75.454,184.217,14.304
40,822.603,118.343,175.737,192.094,8.844
41,275.385,121.676,99.583,192.734,15.398
42,568.661,118.808,148.458,179.576,10.417
43,465.927,126.431,130.553,196.259,22.617
44,431.133,122.922,115.555,181.763,20.097
45,601.326,125.849,127.988,165.968,26.071
46,686.898,124.876,94.540,171.268,24.482
47,448.918,115.857,68.594,47.722,3.050
48,664.550,117.013,62.512,64.780,6.133
49,523.916,125.331,183.991,70.667,23.349
