 ,Area,Mean,X,Y,%Area
1,540.619,117.392,16.767,24.919,4.066
2,421.511,116.229,45.502,32.878,3.552
3,475.560,116.246,71.053,30.949,3.693
4,378.496,117.401,29.624,38.844,6.834
5,701.425,119.014,94.925,39.466,10.618
6,679.170,117.129,64.756,49.189,6.133
7,655.245,116.934,120.427,52.243,6.064
8,686.616,123.947,157.069,54.661,20.814
9,519.129,115.739,16.198,54.777,2.646
10,659.962,115.677,138.144,63.633,2.075
11,610.630,124.662,187.559,56.600,23.957
12,458.846,118.019,102.807,63.364,8.916
13,495.557,116.568,40.917,61.501,5.735
14,596.680,118.648,210.077,64.997,10.180
15,1208.615,115.489,180.594,79.917,2.278
16,755.992,116.055,78.660,70.513,4.329
17,430.157,115.108,56.286,76.526,1.649
18,432.898,115.599,30.166,80.885,2.630
19,461.763,117.184,15.862,89.072,7.568
20,1007.228,121.851,127.274,87.596,17.838
21,396.763,119.975,99.626,87.441,14.524
22,684.322,115.762,47.663,96.996,3.988
23,688.286,115.598,77.754,97.866,3.577
24,884.215,119.301,163.324,103.181,12.647
25,618.005,121.514,135.354,107.159,16.761
26,633.743,119.658,195.841,106.465,13.575
27,612.324,117.552,97.653,112.001,8.587
28,748.428,114.567,33.002,117.829,0.883
29,847.387,117.455,62.601,121.561,7.896
30,545.465,115.153,13.958,122.999,2.249
31,878.593,116.415,123.658,130.588,5.468
32,941.664,115.652,178.957,128.867,3.476
33,498.380,119.616,150.824,129.266,12.273
34,653.646,118.923,96.001,134.061,12.041
35,321.753,124.636,194.145,142.307,24.728
36,786.280,116.013,67.628,145.946,3.891
37,733.572,115.913,35.492,151.226,3.374
38,644.953,119.194,13.150,151.055,13.175
39,595.280,121.720,164.607,152.315,16.705
40,628.744,126.725,130.193,154.067,28.795
41,923.349,125.443,197.715,161.921,23.580
42,758.168,125.712,95.880,160.037,26.772
43,656.998,118.773,151.921,168.614,10.558
44,465.892,122.911,117.823,171.283,20.400
45,645.859,116.950,54.341,167.865,7.387
46,484.253,121.070,76.414,174.985,15.997
47,546.148,127.899,131.788,186.656,28.022
48,374.391,122.863,101.454,184.589,19.046
49,468.091,119.594,185.756,185.211,12.336
50,754.333,118.413,204.042,195.991,9.822
51,593.868,128.521,85.709,196.630,25.382
52,926.349,119.864,158.485,198.702,13.375
53,492.063,125.128,114.430,203.690,23.273
