 ,Area,Mean,X,Y,%Area
1,869.253,116.403,92.667,14.018,1.003
2,1157.507,116.874,16.352,25.401,2.602
3,504.473,117.423,64.235,14.577,4.906
4,528.892,118.978,36.463,20.298,8.920
5,1287.283,124.210,142.074,27.211,25.938
6,562.121,120.611,115.195,32.071,14.332
7,1055.137,115.755,56.534,39.241,1.145
8,1248.714,118.868,184.976,45.866,10.083
9,850.092,124.896,155.495,49.835,30.081
10,862.655,118.709,90.258,42.169,10.304
11,992.784,115.834,40.106,65.424,1.506
12,904.576,117.337,113.979,60.673,5.930
13,635.284,115.824,76.466,63.524,1.381
14,820.404,115.772,16.842,70.553,1.072
15,1264.664,116.210,142.739,81.796,2.655
16,861.220,115.576,200.953,76.977,1.378
17,723.045,119.692,174.134,78.704,12.238
18,528.339,125.143,66.644,79.544,29.822
19,886.239,121.233,107.403,86.340,18.251
20,1183.032,116.914,74.615,101.597,3.797
21,1034.506,118.576,38.126,106.893,7.927
22,862.408,126.599,13.536,104.435,28.651
23,886.486,125.323,189.051,106.557,29.369
24,874.500,129.391,146.517,109.174,40.638
25,1034.165,134.532,106.830,117.472,52.884
26,884.721,120.034,167.475,126.087,13.059
27,689.122,127.881,129.996,130.206,35.877
28,883.933,119.381,58.958,129.109,12.600
29,632.191,127.702,84.878,135.979,34.125
30,563.780,121.296,190.277,135.246,17.997
31,679.664,121.078,26.523,137.393,16.121
32,831.025,131.914,147.247,150.819,47.802
33,422.794,130.968,114.257,147.458,39.356
34,623.686,123.166,56.960,153.409,23.167
35,566.661,128.091,21.700,154.684,35.475
36,890.920,130.782,94.163,160.368,40.588
37,1202.887,120.694,182.549,161.522,15.241
38,894.578,130.233,126.650,174.406,43.128
39,559.745,132.482,53.772,173.830,45.914
40,713.258,117.859,31.010,178.067,6.107
41,701.766,130.837,81.446,179.570,38.492
42,682.723,141.863,156.358,179.032,59.298
43,820.768,128.702,200.524,184.404,38.774
44,476.337,120.205,107.952,191.241,10.784
45,646.988,124.749,162.591,195.576,27.453
46,640.989,126.691,88.687,203.263,30.352
47,791.491,137.791,131.136,205.875,48.210
48,481.230,138.714,172.094,208.704,56.345
49,355.241,139.449,196.809,206.171,63.832
