 ,Area,Mean,X,Y,%Area
1,1062.536,116.992,18.186,22.411,6.741
2,1217.931,124.096,144.576,20.287,35.861
3,472.067,119.779,38.479,15.245,19.361
4,443.378,117.483,65.818,11.829,8.829
5,609.901,120.176,117.154,25.965,21.139
6,1090.660,115.801,57.824,34.469,2.717
7,1230.799,118.895,187.104,40.272,16.120
8,889.673,124.523,157.262,44.128,40.309
9,863.690,119.179,92.582,37.569,18.342
10,1000.418,115.845,40.907,60.328,3.744
11,926.490,117.371,115.456,55.651,10.213
12,604.937,115.916,78.040,58.458,3.866
13,837.612,115.735,17.993,66.369,2.783
14,1297.211,116.227,144.079,77.279,5.509
15,733.396,119.891,175.391,72.735,22.192
16,539.290,125.834,66.996,74.101,42.739
17,909.470,121.403,108.940,81.632,29.958
18,1233.446,116.731,75.487,96.923,7.221
19,898.448,126.811,13.897,100.697,38.399
20,1083.614,118.835,39.042,103.290,17.393
21,864.372,126.134,191.899,100.999,42.911
22,904.376,129.748,149.661,104.684,53.914
23,1078.180,135.390,108.175,112.997,66.944
24,971.400,119.796,171.082,121.978,20.527
25,736.231,128.041,131.802,126.540,47.155
26,867.042,119.890,59.771,125.315,20.455
27,669.702,128.555,86.066,132.136,46.537
28,516.788,123.340,194.317,130.251,36.085
29,696.414,121.774,25.456,133.926,26.131
30,897.366,131.403,150.157,147.252,59.539
31,416.465,132.590,115.580,143.741,54.016
32,347.937,124.060,212.029,145.491,35.460
33,645.706,123.802,57.611,149.521,34.621
34,601.338,129.546,21.482,151.695,51.124
35,900.742,130.834,95.041,156.671,52.582
36,1202.063,120.602,185.946,156.964,25.497
37,890.779,130.753,128.095,170.496,57.374
38,581.929,132.913,54.541,169.978,60.300
39,749.346,117.886,31.841,175.344,10.944
40,709.388,131.132,82.811,176.419,49.407
41,857.091,128.054,203.600,179.782,49.688
42,706.424,142.474,158.420,175.200,72.641
43,487.441,119.676,109.015,187.042,19.124
44,707.377,126.020,164.841,191.727,42.070
45,613.429,134.047,61.584,194.742,57.719
46,865.501,137.022,132.338,203.249,59.514
47,682.335,126.892,91.173,201.367,41.794
48,390.611,141.230,198.093,203.389,80.122
49,497.309,139.196,173.604,205.580,71.586
