 ,Area,Mean,X,Y,%Area
1,567.955,117.174,14.411,50.116,5.279
2,454.423,115.744,67.156,55.379,2.881
3,396.269,116.123,42.311,57.671,3.274
4,621.346,118.630,91.360,61.911,9.918
5,622.922,117.078,62.912,72.755,6.511
6,654.975,116.888,115.882,75.582,6.462
7,672.372,123.308,152.581,75.810,16.511
8,602.855,115.725,135.156,85.088,3.235
9,482.500,115.226,14.207,78.185,1.224
10,528.433,124.840,182.808,76.864,20.534
11,825.732,118.160,97.931,96.543,9.635
12,660.703,117.463,206.029,86.160,7.050
13,417.489,116.427,38.875,83.770,5.311
14,1085.896,115.355,176.752,99.775,2.315
15,655.387,116.281,74.925,91.614,5.303
16,391.976,114.678,54.103,97.066,0.750
17,506.755,116.775,12.737,103.144,6.752
18,310.849,115.136,29.816,100.564,1.707
19,911.999,120.682,124.601,108.437,14.741
20,646.882,115.500,46.585,116.319,3.393
21,616.488,114.778,75.714,118.045,1.109
22,860.561,118.664,160.374,121.892,11.010
23,199.423,115.694,19.964,118.035,4.323
24,563.650,120.418,132.323,125.494,13.729
25,601.773,119.026,192.718,125.272,12.197
26,575.036,116.816,95.065,130.599,6.347
27,463.727,116.396,211.400,132.807,5.352
28,660.103,114.472,33.782,136.525,0.478
29,754.016,116.821,62.397,140.098,6.123
30,494.816,115.159,15.754,141.965,2.674
31,839.118,115.806,175.870,146.190,3.558
32,859.149,116.336,123.112,148.373,5.103
33,434.462,120.308,148.905,146.177,12.844
34,600.397,118.631,95.211,152.312,11.187
35,445.201,119.942,210.313,155.385,14.354
36,724.950,116.060,67.189,162.780,3.643
37,280.290,125.190,188.637,159.273,25.754
38,517.012,115.673,38.373,164.392,3.306
39,541.513,120.919,160.963,168.792,14.623
40,787.315,124.557,193.019,176.667,19.122
41,619.358,124.822,127.361,170.897,22.554
42,711.270,123.656,93.936,177.054,20.554
43,580.012,118.491,148.503,184.673,9.657
44,451.435,122.362,115.746,187.860,18.072
45,411.878,119.669,75.550,190.242,12.514
46,779.529,118.173,174.617,196.853,8.572
47,429.463,125.172,131.020,201.539,18.981
48,273.727,120.121,99.872,198.794,12.419
49,267.222,117.470,27.641,65.197,7.527
