 ,Area,Mean,X,Y,Perim.,Major,Minor,Angle,%Area
1,1148.271,298.297,169.071,23.818,141.458,49.332,29.637,136.383,34.480
2,873.390,462.876,46.296,31.928,119.641,34.182,32.532,23.230,61.212
3,751.294,474.226,140.077,29.625,114.367,34.104,28.049,141.409,64.296
4,806.179,546.188,18.251,42.997,118.984,36.353,28.236,68.233,70.958
5,427.615,707.959,79.364,35.183,87.472,31.712,17.169,154.505,79.518
6,992.569,374.234,115.897,43.281,135.885,46.776,27.018,162.418,47.238
7,935.872,415.039,63.769,54.070,137.072,42.548,28.006,17.261,53.964
8,943.921,571.286,101.315,63.840,127.370,42.678,28.161,153.729,70.618
9,740.176,268.589,33.937,66.164,108.766,33.597,28.051,108.152,28.845
10,1167.690,469.336,137.813,72.288,137.566,41.100,36.174,54.604,58.739
11,1007.611,619.149,70.441,80.122,125.450,38.841,33.031,174.465,64.741
12,915.749,505.583,16.122,87.964,123.378,36.217,32.194,108.196,60.490
13,966.359,544.243,101.248,92.332,135.396,43.903,28.026,15.957,62.096
14,792.093,660.013,48.056,95.886,119.952,38.145,26.439,158.354,85.532
15,1056.258,464.894,172.881,103.401,143.116,46.038,29.212,62.240,67.518
16,804.066,564.083,144.229,103.318,118.098,35.109,29.160,117.134,57.555
17,882.747,602.117,203.097,105.890,127.361,42.033,26.740,160.904,65.846
18,1168.042,517.498,117.754,117.052,140.961,40.251,36.948,162.468,53.032
19,649.672,793.487,80.596,114.052,100.554,33.271,24.862,148.166,76.111
20,854.776,532.881,16.337,117.674,117.599,35.591,30.579,135.338,66.111
21,1109.333,509.192,51.994,122.791,141.860,48.755,28.970,159.143,69.389
22,521.639,503.659,196.180,126.465,96.571,29.672,22.384,5.423,69.766
23,786.459,556.146,145.433,134.596,116.850,39.400,25.415,34.608,73.364
24,709.790,629.426,174.971,139.331,114.049,31.701,28.508,103.059,74.527
25,949.606,452.775,95.656,139.537,144.790,42.553,28.414,169.676,69.252
26,892.205,504.737,20.332,152.600,132.245,36.747,30.914,77.058,62.577
27,890.595,557.943,47.777,148.880,126.323,34.321,33.040,8.504,74.507
28,856.386,329.244,120.976,156.783,115.059,35.995,30.292,12.155,45.080
29,1142.938,326.543,76.287,162.078,137.888,44.200,32.924,5.443,41.366
30,763.518,354.520,156.106,158.568,107.610,34.080,28.525,165.908,50.346
31,749.784,446.870,191.643,158.913,108.417,34.787,27.443,40.184,57.099
32,511.326,526.681,214.845,166.458,92.266,30.138,21.602,26.534,63.459
33,735.497,540.452,215.394,138.259,125.313,37.038,25.284,78.498,70.178
34,478.425,595.678,203.841,81.407,115.624,28.740,21.195,172.857,68.875
35,648.666,676.290,168.967,76.482,103.612,32.953,25.063,7.334,74.407
36,899.751,577.492,167.011,53.142,149.664,45.251,25.316,156.646,73.559
37,651.383,396.004,197.971,60.237,128.630,39.415,21.042,136.796,44.478
