 ,Area,Mean,X,Y,Perim.,Major,Minor,Angle,Circ.,Skew,%Area,AR,Round,Solidity
1,7980.687,212.556,100.033,102.072,438.066,143.055,71.031,33.864,0.523,3.283,100,2.014,0.497,0.818
2,5464.819,216.813,100.996,105.688,355.200,123.345,56.411,35.780,0.544,2.888,100,2.187,0.457,0.844
3,4207.835,221.217,101.118,106.549,313.762,111.959,47.853,36.742,0.537,2.619,100,2.340,0.427,0.840
4,3275.330,228.306,101.837,106.857,279.081,100.128,41.649,37.847,0.528,2.264,100,2.404,0.416,0.855
5,2759.895,232.897,102.370,106.092,246.963,90.394,38.874,35.032,0.569,2.089,100,2.325,0.430,0.896
6,2516.431,236.782,102.180,106.529,232.291,85.440,37.500,36.384,0.586,2.000,100,2.278,0.439,0.902
7,2131.632,241.579,100.142,109.117,217.566,81.907,33.136,36.467,0.566,1.739,100,2.472,0.405,0.902
8,1856.776,245.427,99.041,109.485,201.203,74.486,31.739,36.445,0.576,1.661,100,2.347,0.426,0.901
9,1451.424,248.561,98.893,110.089,178.295,66.625,27.737,33.699,0.574,1.435,100,2.402,0.416,0.887
10,1161.294,246.992,98.334,110.705,154.672,59.420,24.884,33.646,0.610,1.382,100,2.388,0.419,0.938
11,1058.285,245.657,97.300,111.043,142.366,54.256,24.835,35.775,0.656,1.397,100,2.185,0.458,0.965
12,938.101,244.023,95.776,112.750,133.119,50.917,23.458,34.655,0.665,1.414,100,2.171,0.461,0.965
13,848.746,232.754,95.860,112.376,120.818,44.914,24.061,36.177,0.731,1.656,100,1.867,0.536,0.962
14,711.318,222.922,95.556,113.382,106.695,40.868,22.161,34.940,0.785,1.909,100,1.844,0.542,0.978
15,628.897,204.270,94.057,114.913,99.086,36.755,21.786,35.047,0.805,2.181,100,1.687,0.593,0.978
